GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDDExample,samsungtdd.subscriber,Subscription,2,29,1,3,1,10,1,3,0,2
TDDExample,samsungtdd.subscriber,SubscriptionRepository.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
TDDExample,samsungtdd,FizzBuzz,0,51,0,10,0,14,0,7,0,2
TDDExample,samsungtdd,PrimeNumber,2,38,1,9,1,10,1,6,0,2
TDDExample,samsungtdd,Subscription,0,30,0,4,0,8,0,4,0,2
TDDExample,samsungtdd.Common,Utility,5,15,1,3,1,4,2,2,1,1
